Source,Preferred society name,Society id,Cross-dataset id,Original society name,eHRAF name,eHRAF code,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family
Ethnographic Atlas,Lhota,Ei2,xd707,Lhota (Ei2),,,27,94,27,94,loth1237,Lotha Naga,njh,Sino-Tibetan
Ethnographic Atlas,Li,Ed9,xd652,Li (Ed9),,,19,109,19,109,hlai1239,Hlai,lic,Tai-Kadai
Ethnographic Atlas,Lida Shoshoni,Nd34,xd1168,Lida Shoshoni (Nd34),Western,NT22,37,-117,37,-117,west2622,Western Shoshoni,,Uto-Aztecan
Ethnographic Atlas,Abarambo,Ai27,xd356,Abarambo (Ai27),,,4,27,4,27,bara1361,Barambu,brm,Atlantic-Congo
Western North American Indian database,Lillooet,WNAI97,xd1207,Upper Lillooet (J97),,,50.3,-122.5,50.3,122.5,lill1248,Lillooet,lil,Salishan
Ethnographic Atlas,Subanun,Ia4,xd744,Subanun (Ia4),,,8,123,8,123,cent2089,Central Subanen,syb,Austronesian
Ethnographic Atlas,Lillooet,Nd9,xd1207,Lillooet (Nd9),,,50.02,-124.78,50,-125,lill1248,Lillooet,lil,Salishan
Binford Hunter-Gatherer,Lillooet,B276,xd1207,Lillooet (B276),,,50.46,-123,50.46,-123,lill1248,Lillooet,lil,Salishan
Western North American Indian database,Wishram,WNAI110,xd1150,Wishram (J110),,,45.5,-121.2,45.5,121.2,wasc1239,Wasco-Wishram,wac,Chinookan
Ethnographic Atlas,Lipan Apache,Nh24,xd1275,Lipan (Nh24),,,30,-100,30,-100,lipa1241,Lipan Apache,apl,Athapaskan-Eyak-Tlingit
Western North American Indian database,Lipan Apache,WNAI155,xd1275,Lipan Apache (J155),,,30,-104,30,104,lipa1241,Lipan Apache,apl,Athapaskan-Eyak-Tlingit
Binford Hunter-Gatherer,Lipan Apache,B240,xd1275,Lipan Apache (B240),,,28.96,-98.48,28.96,-98.48,lipa1241,Lipan Apache,apl,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Liptako,Cb22,xd472,Liptako (Cb22),,,14,0,14,0,west2454,Western Niger Fulfulde,fuh,Atlantic-Congo
Ethnographic Atlas,Sugbuanon,Ia12,xd735,Sugbuhanon (Ia12),Central,OA14,10.2,123.65,10,124,cebu1242,Cebuano,ceb,Austronesian
Ethnographic Atlas,Lithuanian Karaim,ch22,xd560,Lithuanian Karaim (ch22),,,55,23,55,23,kara1464,Karaim,kdr,Turkic
Ethnographic Atlas,Lithuanians,Ch9,xd573,Lithuanians (Ch9),,,55,24,55,24,lith1251,Lithuanian,lit,Indo-European
Ethnographic Atlas,Witoto,Se6,xd1370,Witoto (Se6),,,-1,-74,-1,-74,muru1274,Murui Huitoto,huu,Huitotoan
Ethnographic Atlas,Lithuanian Tatar,ch23,xd561,Lithuanian Tatar (ch23),,,55,24,55,24,west2405,Western Tatar,,Turkic
Ethnographic Atlas,Livs,ch24,xd562,Livs (ch24),,,57,23,57,23,livv1244,Liv,liv,Uralic
Ethnographic Atlas,Lobi,Ag11,xd246,Lobi (Ag11),,,10,-4,10,-4,lobi1245,Lobi,lob,Atlantic-Congo
Ethnographic Atlas,Logo,Ai31,xd361,Logo (Ai31),,,3,30,3,30,logo1259,Logo,log,Central Sudanic
Standard cross-cultural sample,Suku,SCCS6,xd41,Suku (SCCS6),,,-6,18,-6,18,suku1259,Suku,sub,Atlantic-Congo
Ethnographic Atlas,Lokele,Ae27,xd146,Lokele (Ae27),,,1,25,1,25,kele1255,Kele-Foma,khy,Atlantic-Congo
Ethnographic Atlas,Lokono,Sc10,xd1336,Locono (Sc10),,,5.95,-56.98,6,-57,araw1276,Lokono,arw,Arawakan
Binford Hunter-Gatherer,Wiyambituka,B233,xd1170,Little Smokey Shoshoni (B233),Western,NT22,39.33,-115.84,39.33,-115.84,west2622,Western Shoshoni,,Uto-Aztecan
Standard cross-cultural sample,Lolo,SCCS67,xd645,Lolo (SCCS67),Yi,AE04,27.5,103.5,27.5,103.5,sich1238,Sichuan Yi,iii,Sino-Tibetan
Ethnographic Atlas,Lolo,Ed2,xd645,Lolo (Ed2),Yi,AE04,29,103,29,103,sich1238,Sichuan Yi,iii,Sino-Tibetan
Ethnographic Atlas,Longuda,Ah30,xd321,Longuda (Ah30),,,10,12,10,12,long1389,Longuda,lnu,Atlantic-Congo
Ethnographic Atlas,Lotuko,Aj12,xd387,Lotuko (Aj12),,,4,33,4,33,otuh1238,Otuho,lot,Nilotic
Ethnographic Atlas,Suku,Ac17,xd41,Suku (Ac17),Suku,FO46,-6,18,-6,18,suku1259,Suku,sub,Atlantic-Congo
