"id","socname","v149","v150","v151","v152","v153","v154","v155","v156","v157","v158","v204","v20","v820","v200","v201"
1,"Nama Hottentot",1,1,1,2,4,2,1,1,3,2,3,1,2,1,1
2,"Kung Bushmen",2,1,1,1,1,1,1,1,2,1,2,1,1,1,1
3,"Thonga",1,4,4,1,4,1,3,5,4,3,1,2,6,1,2
4,"Lozi",1,3,5,4,3,1,1,3,5,4,2,2,7,1,2
5,"Mbundu",1,5,4,2,4,1,4,3,4,4,1,2,6,1,2
6,"Suku",1,4,4,1,4,1,4,3,5,3,2,2,6,1,3
7,"Bemba",2,4,4,2,4,1,1,2,5,3,1,2,4,1,3
8,"Nyakyusa",1,4,5,2,4,1,2,4,4,1,1,1,7,1,4
9,"Hadza",1,1,1,1,1,1,1,1,1,1,4,1,1,1,1
10,"Luguru",1,5,4,3,4,1,2,5,2,2,1,2,6,1,4
11,"Kikuyu",1,5,5,2,4,1,2,5,2,2,0,2,7,1,4
12,"Ganda",2,5,5,2,4,1,4,5,5,4,1,1,7,1,4
13,"Mbuti",1,1,1,1,1,1,1,1,1,1,7,1,1,1,1
14,"Nkundo Mongo",1,5,4,2,4,1,5,2,3,3,1,1,6,1,5
15,"Banen",1,5,4,3,4,1,3,3,3,2,1,2,6,1,5
16,"Tiv",1,5,4,4,4,1,1,4,3,2,2,2,6,1,8
17,"Ibo",1,5,4,5,4,1,4,5,3,2,0,2,6,1,6
18,"Fon",3,5,4,5,5,1,4,4,5,4,2,2,6,1,6
19,"Ashanti",1,5,4,3,4,1,4,4,5,3,1,2,6,1,6
20,"Mende",1,5,4,2,5,1,3,4,3,4,0,2,6,1,6
21,"Wolof",4,5,4,2,5,2,3,5,4,5,0,2,6,2,2
22,"Bambara",3,5,5,4,5,3,3,3,3,4,0,2,7,1,7
23,"Tallensi",1,5,5,4,4,1,3,5,2,2,0,3,7,1,7
24,"Songhai",4,5,5,4,4,2,1,3,3,5,0,NA,7,2,2
25,"Pastoral Fulani",1,1,2,2,1,2,1,2,3,1,0,2,5,2,2
26,"Hausa",5,5,5,5,4,2,3,4,5,5,0,5,7,2,2
27,"Massa (Masa)",1,5,5,3,4,1,1,4,2,1,1,2,7,1,9
28,"Azande",2,5,4,2,4,1,4,2,4,3,2,2,4,1,9
29,"Fur (Darfur)",5,5,5,2,5,2,2,3,5,3,0,2,7,2,2
30,"Otoro Nuba",2,5,5,4,4,1,1,3,1,2,2,2,7,1,9
31,"Shilluk",1,5,4,4,4,1,1,4,3,5,1,2,6,1,9
32,"Mao",1,5,4,1,4,1,3,3,2,1,1,2,6,1,9
33,"Kaffa (Kafa)",2,5,5,1,5,2,2,4,5,4,1,2,7,2,1
34,"Masai",1,1,1,3,4,2,2,2,2,1,1,1,5,1,0
35,"Konso",1,5,5,5,5,2,1,5,3,2,0,2,7,2,1
36,"Somali",4,1,2,4,4,2,3,3,3,2,0,2,5,2,1
37,"Amhara",5,5,5,3,5,2,3,4,5,5,0,2,7,2,1
38,"Bogo",1,3,3,4,2,2,3,2,3,4,0,1,5,2,1
39,"Kenuzi Nubians",5,5,5,1,3,2,5,4,2,2,0,2,7,2,4
40,"Teda",2,1,2,1,4,2,3,1,2,3,0,NA,5,2,3
41,"Tuareg",4,1,3,1,4,2,2,1,4,4,1,2,5,2,3
42,"Riffians",5,5,5,4,5,2,5,5,4,2,1,2,7,2,4
43,"Egyptians",5,5,5,5,5,2,5,5,5,5,0,2,7,2,4
44,"Hebrews",5,5,5,5,5,2,5,5,4,5,2,1,7,2,0
45,"Babylonians",5,5,5,5,5,4,5,5,5,5,0,3,7,2,0
46,"Rwala Bedouin",5,1,1,1,4,2,3,1,3,2,1,1,5,2,0
47,"Turks",5,5,5,4,5,5,5,4,5,5,0,2,7,2,9
48,"Gheg Albanians",5,3,5,2,4,2,5,4,4,2,0,2,7,2,5
49,"Romans",5,5,5,5,5,4,5,5,5,5,0,5,8,2,5
50,"Basques",5,5,5,5,5,5,5,3,4,5,0,5,7,2,5
51,"Irish",5,5,5,4,5,5,5,4,4,5,1,5,7,2,7
52,"Lapps",2,1,2,1,3,2,1,2,2,2,2,2,5,2,7
53,"Yurak Samoyed",2,1,2,1,1,3,3,1,2,2,3,2,5,3,3
54,"Russians",5,5,5,5,5,5,5,3,5,5,0,4,7,2,8
55,"Abkhaz",4,5,3,3,4,4,1,4,3,5,0,2,5,2,9
56,"Armenians",5,5,5,4,5,2,3,4,5,5,0,2,7,2,9
57,"Kurd",4,5,5,5,5,2,5,5,4,3,0,2,7,2,9
58,"Basseri",4,1,3,2,4,2,1,2,4,2,1,2,5,3,1
59,"Punjabi (West)",5,5,5,3,5,2,5,5,5,5,0,2,7,3,1
60,"Gond",1,4,4,1,4,1,4,3,3,2,1,2,6,3,7
61,"Toda",1,3,1,1,1,1,3,4,3,1,0,2,5,3,7
62,"Santal",2,5,5,2,3,1,3,5,4,1,1,2,7,3,6
63,"Uttar Pradesh",5,5,5,5,5,5,5,5,5,5,0,2,7,3,6
64,"Burusho",4,5,5,2,4,2,1,2,3,5,0,2,7,3,5
65,"Kazak",4,2,1,4,4,2,3,2,4,4,1,2,5,3,2
66,"Khalka Mongols",5,2,2,1,4,4,3,2,5,4,1,2,5,3,2
67,"Lolo",5,5,5,2,4,2,4,2,2,4,1,1,7,3,4
68,"Lepcha",4,5,5,2,3,1,3,4,3,2,1,2,7,3,5
69,"Garo",1,5,4,3,4,1,3,4,4,2,0,2,6,3,9
70,"Lakher",2,5,4,3,4,1,2,3,3,4,2,2,6,3,9
71,"Burmese",5,5,5,4,5,4,5,5,5,5,0,2,7,3,9
72,"Lamet",1,3,4,2,1,1,2,1,2,2,2,2,6,3,0
73,"Vietnamese",5,5,5,4,5,5,3,5,5,5,0,2,7,3,0
74,"Rhade",1,4,4,4,3,1,3,5,2,2,1,1,6,3,0
75,"Khmer",3,5,5,5,5,4,5,4,5,5,0,NA,7,3,0
76,"Siamese",5,5,5,5,5,5,5,5,5,5,0,2,7,3,0
77,"Semang",1,1,2,1,1,1,1,1,2,1,3,1,1,3,0
78,"Nicobarese",2,5,4,3,4,1,1,4,2,1,1,2,6,3,8
79,"Andamanese",1,2,1,1,2,1,1,2,2,1,2,1,3,3,8
80,"Vedda",2,2,2,1,2,1,3,1,1,1,3,2,2,3,8
81,"Tanala",1,3,5,3,4,1,1,2,3,4,0,2,7,3,8
